Unique_ID,BANK_TYPE,COMPARISON_TYPE,BANK_NAME_ABBR,SNL_INSTITUTE_ID,YEAR_QUARTER,REG_COMPANY_NAME,REG_SNL_INSTN_KEY,REG_STATE,REG_LLR_TO_GROSS_LOAN,REG_RESV_TO_NPA,HIGH_RISK_RE_LOAN_TO_DOM_LOAN,REG_NCO_TO_AVG_LOAN,REG_LLP_TO_NCO,RESV_TO_ADJ_NPL,PD_NACCR_RESTRUCT_FRCLSD_TO_LOAN_FRCLSD,TOTAL_NCL_TO_LOAN,TOTAL_NCL_TO_ASSETS,TOTAL_NONCURRENT_ASSETS_TO_ASSETS,REG_LLR_TO_GROSS_LOAN,NCO_TO_AVG_LOAN_CU,NET_CREDIT_CARD_CHRG_OFF_TO_AVG_CREDIT_CARD_LOAN,OREO_TO_ASSETS_AQ,REG_EQUITY_RESV_TO_ASSETS,REG_NPL_TO_LOAN,NPA_TO_LOAN,LOAN_LEASES_HFS,TOTAL_LOAN_LEASES_EXCL_HFS,TOTAL_RESV,REG_TOTAL_ASSETS,TOTAL_DEP_INCL_DOM_FRGN,TOTAL_LOAN_LEASES_CHRG_OFF,LLR_LOAN_LOSS_RES_BEGIN_PERIOD,LLR_CHANGES_MERGERS,LLR_OTHER_ADJ,LLR_BAL_AT_END_PREV_YR,TOTAL_LOAN_LEASES_RECOV,LLR_TOTAL_CHRG_OFF_BHC,PROV_FOR_LOAN_LEASE_LOSS,LN_AND_LS_HFI_AMORT_COST_RE_CONST_LOAN,LN_AND_LS_HFI_AMORT_COST_COM_RE_LOAN,LN_AND_LS_HFI_AMORT_COST_RES_RE_LOAN,LN_AND_LS_HFI_AMORT_COST_COM_LOAN,LN_AND_LS_HFI_AMORT_COST_CREDIT_CARD,LN_AND_LS_HFI_AMORT_COST_OTHER_CONSUMER_LOAN,LN_AND_LS_HFI_AMORT_COST_TOTAL,LN_AND_LS_HFI_ALLOWANCE_RE_CONST_LOAN,LN_AND_LS_HFI_ALLOWANCE_COM_RE_LOAN,LN_AND_LS_HFI_ALLOWANCE_RES_RE_LOAN,LN_AND_LS_HFI_ALLOWANCE_COM_LOAN,LN_AND_LS_HFI_ALLOWANCE_CREDIT_CARD,LN_AND_LS_HFI_ALLOWANCE_OTHER_CONSUMER_LOAN,LN_AND_LS_HFI_ALLOWANCE_UNALLOCATED,LN_AND_LS_HFI_ALLOWANCE_TOTAL,latitude,longitude
4047176-1991Q1,Peer,Peer,USB,USB,1991Q1,U.S. Bancorp,4047176,MN,,90.05,,1.39,77.85,,,,,,,,,,,,,267773,12500464,349870,17319250,13370963,53745,359829,0,0,359829,8786,53745,35000,,,,,,,,,,,,,,,,46.729553,-94.6859
100382-1991Q1,Mega-Bank,Mega-Bank,Wells Fargo,100382,1991Q1,Wells Fargo & Company,100382,CA,,77.37,,1.06,156.05,,,,,,,,,,,,,0,19631400,435600,30654100,19984300,71900,386100,20800,0,406900,20700,71900,79900,,,,,,,,,,,,,,,,36.778261,-119.417932
100501-1991Q1,Non-Peer,Peer,Zions,100501,1991Q1,"Zions Bancorporation, National Association",100501,UT,3,106.72,9.91,1.07,,163.36,,2.03,1.29,1.29,3,,,0.62,7.47,1.84,2.82,79087,1725038,54198,2835291,2143832,6661,,,,,1814,,6200,,,,,,,,,,,,,,,,39.32098,-111.093731
100369-1991Q1,Mega-Bank,Mega-Bank,Bank of America,100369,1991Q1,Bank of America Corporation,100369,NC,,71.1,,0.9,180.27,,,,,,,,,,,,,0,37458331,741099,66243183,49241159,93787,670388,0,4111,674499,10578,93787,150000,,,,,,,,,,,,,,,,35.759573,-79.0193
100438-1991Q2,Peer,Peer,BB&T / Truist Financial Corporation,TFC,1991Q2,Truist Financial Corporation,100438,NC,,56.43,,0.73,122.74,,,,,,,,,,,,,0,2355385,29245,3501331,2926358,4572,28317,0,0,28317,491,4572,5009,,,,,,,,,,,,,,,,35.759573,-79.0193
100144-1991Q2,Non-Peer,Non-Peer,BNY Mellon,100144,1991Q2,The Bank of New York Mellon Corporation,100144,NY,,65.58,,1.94,85.68,,,,,,,,,,,,,0,30435434,1213112,41359713,31832060,158046,1233995,0,0,1233995,12109,158046,125032,,,,,,,,,,,,,,,,43.299428,-74.217933
103239-1991Q2,Non-Peer,Non-Peer,Capital One,103239,1991Q2,Capital One Financial Corporation,103239,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.431573,-78.656894
4041896-1991Q2,Mega-Bank,Mega-Bank,Citigroup,4041896,1991Q2,Citigroup Inc.,4041896,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.299428,-74.217933
1019881-1991Q2,Peer,Peer,CITIZENS,1019881,1991Q2,"Citizens Financial Group, Inc.",1019881,RI,,59.75,,1.2,71.16,,,,,,,,,,,,,65428,2569992,39036,3760821,3112279,8313,41346,0,0,41346,304,8313,5699,,,,,,,,,,,,,,,,41.580095,-71.477429
100206-1991Q2,Peer,Peer,COMERICA,100206,1991Q2,Comerica Incorporated,100206,TX,,95.62,,0.59,103.36,,,,,,,,,,,,,108107,8844225,120500,13948089,11369990,17334,116000,4069,0,120069,4506,17334,13259,,,,,,,,,,,,,,,,31.968599,-99.901813
